wavelength,CIE 1924 - V(lbd) ,CIE 1951 - V'(lbd),CIE 1931 - x2,CIE 1931 - y2,CIE 1931 - z2,CIE 1964 - x10,CIE 1964 - y10,CIE 1964 - z10
805,2.61E-06,,7.22E-06,2.61E-06,0.00E+00,6.91E-06,2.77E-06,0.00E+00
806,2.43E-06,,6.73E-06,2.43E-06,0.00E+00,6.50E-06,2.61E-06,0.00E+00
807,2.27E-06,,6.28E-06,2.27E-06,0.00E+00,6.12E-06,2.45E-06,0.00E+00
808,2.11E-06,,5.85E-06,2.11E-06,0.00E+00,5.75E-06,2.31E-06,0.00E+00
809,1.97E-06,,5.46E-06,1.97E-06,0.00E+00,5.41E-06,2.17E-06,0.00E+00
810,1.84E-06,,5.09E-06,1.84E-06,0.00E+00,5.09E-06,2.05E-06,0.00E+00
811,1.71E-06,,4.74E-06,1.71E-06,0.00E+00,4.79E-06,1.93E-06,0.00E+00
812,1.60E-06,,4.42E-06,1.60E-06,0.00E+00,4.51E-06,1.81E-06,0.00E+00
813,1.49E-06,,4.12E-06,1.49E-06,0.00E+00,4.25E-06,1.71E-06,0.00E+00
814,1.39E-06,,3.84E-06,1.39E-06,0.00E+00,4.00E-06,1.61E-06,0.00E+00
815,1.29E-06,,3.58E-06,1.29E-06,0.00E+00,3.77E-06,1.52E-06,0.00E+00
816,1.21E-06,,3.34E-06,1.21E-06,0.00E+00,3.55E-06,1.43E-06,0.00E+00
817,1.12E-06,,3.11E-06,1.12E-06,0.00E+00,3.34E-06,1.35E-06,0.00E+00
818,1.05E-06,,2.90E-06,1.05E-06,0.00E+00,3.15E-06,1.27E-06,0.00E+00
819,9.77E-07,,2.71E-06,9.77E-07,0.00E+00,2.97E-06,1.20E-06,0.00E+00
820,9.11E-07,,2.52E-06,9.11E-07,0.00E+00,2.80E-06,1.13E-06,0.00E+00
821,8.49E-07,,2.35E-06,8.49E-07,0.00E+00,2.63E-06,1.06E-06,0.00E+00
822,7.92E-07,,2.19E-06,7.92E-07,0.00E+00,2.48E-06,1.00E-06,0.00E+00
823,7.38E-07,,2.04E-06,7.38E-07,0.00E+00,2.34E-06,9.46E-07,0.00E+00
824,6.88E-07,,1.91E-06,6.88E-07,0.00E+00,2.21E-06,8.93E-07,0.00E+00
825,6.42E-07,,1.78E-06,6.42E-07,0.00E+00,2.08E-06,8.42E-07,0.00E+00
826,5.98E-07,,1.66E-06,5.98E-07,0.00E+00,1.96E-06,7.95E-07,0.00E+00
827,5.58E-07,,1.54E-06,5.58E-07,0.00E+00,1.85E-06,7.50E-07,0.00E+00
828,5.20E-07,,1.44E-06,5.20E-07,0.00E+00,1.75E-06,7.07E-07,0.00E+00
829,4.85E-07,,1.34E-06,4.85E-07,0.00E+00,1.65E-06,6.67E-07,0.00E+00
830,4.52E-07,,1.25E-06,4.52E-07,0.00E+00,1.55E-06,6.30E-07,0.00E+00
