wavelength,CIE 1924 - V(lbd) ,CIE 1951 - V'(lbd),CIE 1931 - x2,CIE 1931 - y2,CIE 1931 - z2,CIE 1964 - x10,CIE 1964 - y10,CIE 1964 - z10
625,3.21E-01,4.97E-03,7.51E-01,3.21E-01,1.00E-04,7.55E-01,3.40E-01,0.00E+00
626,3.09E-01,4.59E-03,7.30E-01,3.09E-01,8.61E-05,7.34E-01,3.28E-01,0.00E+00
627,2.98E-01,4.24E-03,7.08E-01,2.98E-01,7.46E-05,7.13E-01,3.17E-01,0.00E+00
628,2.87E-01,3.91E-03,6.86E-01,2.87E-01,6.50E-05,6.91E-01,3.06E-01,0.00E+00
629,2.76E-01,3.61E-03,6.64E-01,2.76E-01,5.69E-05,6.70E-01,2.95E-01,0.00E+00
630,2.65E-01,3.34E-03,6.42E-01,2.65E-01,5.00E-05,6.47E-01,2.83E-01,0.00E+00
631,2.55E-01,3.08E-03,6.22E-01,2.55E-01,4.42E-05,6.25E-01,2.72E-01,0.00E+00
632,2.45E-01,2.84E-03,6.01E-01,2.45E-01,3.95E-05,6.03E-01,2.61E-01,0.00E+00
633,2.35E-01,2.62E-03,5.81E-01,2.35E-01,3.57E-05,5.80E-01,2.50E-01,0.00E+00
634,2.26E-01,2.42E-03,5.61E-01,2.26E-01,3.26E-05,5.57E-01,2.39E-01,0.00E+00
635,2.17E-01,2.24E-03,5.42E-01,2.17E-01,3.00E-05,5.35E-01,2.28E-01,0.00E+00
636,2.08E-01,2.06E-03,5.23E-01,2.08E-01,2.77E-05,5.13E-01,2.18E-01,0.00E+00
637,2.00E-01,1.90E-03,5.04E-01,2.00E-01,2.56E-05,4.92E-01,2.08E-01,0.00E+00
638,1.91E-01,1.76E-03,4.85E-01,1.91E-01,2.36E-05,4.71E-01,1.98E-01,0.00E+00
639,1.83E-01,1.62E-03,4.66E-01,1.83E-01,2.18E-05,4.51E-01,1.89E-01,0.00E+00
640,1.75E-01,1.50E-03,4.48E-01,1.75E-01,2.00E-05,4.32E-01,1.80E-01,0.00E+00
641,1.67E-01,1.38E-03,4.30E-01,1.67E-01,1.81E-05,4.13E-01,1.71E-01,0.00E+00
642,1.60E-01,1.28E-03,4.12E-01,1.60E-01,1.62E-05,3.95E-01,1.63E-01,0.00E+00
643,1.52E-01,1.18E-03,3.95E-01,1.52E-01,1.42E-05,3.77E-01,1.55E-01,0.00E+00
644,1.45E-01,1.09E-03,3.78E-01,1.45E-01,1.21E-05,3.60E-01,1.48E-01,0.00E+00
645,1.38E-01,1.01E-03,3.61E-01,1.38E-01,1.00E-05,3.44E-01,1.40E-01,0.00E+00
646,1.32E-01,9.28E-04,3.44E-01,1.32E-01,7.73E-06,3.28E-01,1.33E-01,0.00E+00
647,1.25E-01,8.57E-04,3.29E-01,1.25E-01,5.40E-06,3.12E-01,1.26E-01,0.00E+00
648,1.19E-01,7.92E-04,3.13E-01,1.19E-01,3.20E-06,2.97E-01,1.20E-01,0.00E+00
649,1.13E-01,7.32E-04,2.98E-01,1.13E-01,1.33E-06,2.83E-01,1.14E-01,0.00E+00
650,1.07E-01,6.77E-04,2.84E-01,1.07E-01,0.00E+00,2.68E-01,1.08E-01,0.00E+00
651,1.01E-01,6.26E-04,2.70E-01,1.01E-01,0.00E+00,2.55E-01,1.02E-01,0.00E+00
652,9.62E-02,5.79E-04,2.56E-01,9.62E-02,0.00E+00,2.41E-01,9.63E-02,0.00E+00
