nm,Standard Illuminant A,Standard Illuminant D65,Illuminant C,IlluminantD50,IlluminantD55,IlluminantD75,FL1,FL2*,FL3,FL4,FL5,FL6,FL7*,FL8,FL9,FL10,FL11*,FL12,HP1,HP2,HP3,HP4,HP5
540,85.947,104.405,102.1,100.755,102.102,106.289,11.53,10.01,8.78,7.32,12.12,10.49,12.26,12.22,11.18,40.98,39.59,34.4,2.6,29.69,141.37,101.37,81.26
545,89.4124,104.225,103.95,101.536,102.535,105.596,27.74,24.88,23.82,22.59,27.78,25.22,29.52,28.96,27.71,73.69,72.84,65.4,5.1,43.12,64.98,123.96,67.36
550,92.912,104.046,105.2,102.317,102.968,104.904,17.05,16.64,16.14,15.11,17.73,17.46,17.05,16.51,16.29,33.61,32.61,29.48,11.39,98.3,33.83,42.47,48.48
555,96.4423,102.023,105.67,101.159,101.484,102.452,13.55,14.59,14.59,13.88,14.47,15.63,12.44,11.79,12.28,8.24,7.52,7.16,15.48,125.6,34.26,34.73,51.41
560,100,100,105.3,100,100,100,14.33,16.16,16.63,16.33,15.2,17.22,12.58,11.76,12.74,3.38,2.83,3.08,20.78,134.57,33.32,31.82,48.88
565,103.582,98.1671,104.11,98.868,98.608,97.808,15.01,17.56,18.49,18.68,15.77,18.53,12.72,11.77,13.21,2.47,1.96,2.47,55.64,149.7,52.8,54.67,68.52
570,107.184,96.3342,102.3,97.735,97.216,95.616,15.52,18.62,19.95,20.64,16.1,19.43,12.83,11.84,13.65,2.14,1.67,2.27,254.03,166.12,74.29,57.45,80.85
575,110.803,96.0611,100.15,98.327,97.482,94.914,18.29,21.47,23.11,24.28,18.54,21.97,15.46,14.61,16.57,4.86,4.43,5.09,56.14,98.77,47.97,70.43,65.96
580,114.436,95.788,97.8,98.918,97.749,94.213,19.55,22.79,24.69,26.26,19.5,23.01,16.75,16.11,18.14,11.45,11.28,11.96,111.78,30.47,49.2,69.5,59.43
585,118.08,92.2368,95.43,96.208,94.59,90.605,15.48,19.29,21.41,23.28,15.39,19.41,12.83,12.34,14.55,14.79,14.76,15.32,297.98,1.17,96.07,49.37,67.57
590,121.731,88.6856,93.2,93.499,91.432,86.997,14.91,18.66,20.85,22.94,14.64,18.56,12.67,12.53,14.65,12.16,12.73,14.27,142.55,0.39,85.41,183.35,128.34
595,125.386,89.3459,91.22,95.593,92.926,87.112,14.15,17.73,19.93,22.14,13.72,17.42,12.45,12.72,14.66,8.97,9.74,11.86,334.84,1.65,175.18,162.15,131.85
600,129.043,90.0062,89.7,97.688,94.419,87.227,13.22,16.54,18.67,20.91,12.69,16.09,12.19,12.92,14.61,6.52,7.33,9.28,189.4,21.41,153.73,109.35,101.7
605,132.697,89.8026,88.83,98.478,94.78,86.684,12.19,15.21,17.22,19.43,11.57,14.64,11.89,13.12,14.5,8.31,9.72,12.31,117.78,76.11,120.22,72.38,77.05
610,136.346,89.5991,88.4,99.269,95.14,86.14,11.12,13.8,15.65,17.74,10.45,13.15,11.6,13.34,14.39,44.12,55.27,68.53,79.92,126.16,98.9,70.6,66.27
615,139.988,88.6489,88.19,99.155,94.68,84.861,10.03,12.36,14.04,16,9.35,11.68,11.35,13.61,14.4,34.55,42.58,53.02,108.09,161.96,90.22,58.08,77.09
620,143.618,87.6987,88.1,99.042,94.22,83.581,8.95,10.95,12.45,14.42,8.29,10.25,11.12,13.87,14.47,12.09,13.18,14.67,46.85,160.06,70.07,44.13,60.51
625,147.235,85.4936,88.06,97.382,92.334,81.164,7.96,9.65,10.95,12.56,7.32,8.95,10.95,14.07,14.62,12.15,13.16,14.38,38.16,158.19,66.84,50.2,65.23
630,150.836,83.2886,88,95.722,90.448,78.747,7.02,8.4,9.51,10.93,6.41,7.74,10.76,14.2,14.72,10.52,12.26,14.71,32.47,153.69,57.61,40.8,57.86
635,154.418,83.4939,87.86,97.29,91.389,78.587,6.2,7.32,8.27,9.52,5.63,6.69,10.42,14.16,14.55,4.43,5.11,6.46,28.37,147.4,53.03,37.91,56.2
640,157.979,83.6992,87.8,98.857,92.33,78.428,5.42,6.31,7.11,8.18,4.9,5.71,10.11,14.13,14.4,1.95,2.07,2.57,25.37,140.6,49.85,36.71,54.32
645,161.516,81.863,87.99,97.262,90.592,76.614,4.73,5.43,6.09,7.01,4.26,4.87,10.04,14.34,14.58,2.19,2.34,2.75,22.98,134.92,48.16,38.3,56.34
650,165.028,80.0268,88.2,95.667,88.854,74.801,4.15,4.68,5.22,6,3.72,4.16,10.02,14.5,14.88,3.19,3.58,4.18,20.38,127.59,42.76,31.24,45.74
655,168.51,80.1207,88.2,96.929,89.586,74.562,3.64,4.02,4.45,5.11,3.25,3.55,10.11,14.46,15.51,2.77,3.01,3.44,19.78,124.65,50.64,35.31,50.79
660,171.963,80.2146,87.9,98.19,90.317,74.324,3.2,3.45,3.8,4.36,2.83,3.02,9.87,14,15.47,2.29,2.48,2.81,17.78,118.02,48.42,45.62,56.66
665,175.383,81.2462,87.22,100.597,92.133,74.873,2.81,2.96,3.23,3.69,2.49,2.57,8.65,12.58,13.2,2,2.14,2.42,16.78,113.94,41.27,35.82,51.99
670,178.769,82.2778,86.3,103.003,93.95,75.422,2.47,2.55,2.75,3.13,2.19,2.2,7.27,10.99,10.57,1.52,1.54,1.64,19.18,118.1,43.44,89.91,84.31
675,182.118,80.281,85.3,101.068,91.953,73.499,2.18,2.19,2.33,2.64,1.93,1.87,6.44,9.98,9.18,1.35,1.33,1.36,17.98,115.16,40.48,36.01,47.48
