nm,CIE 1924 - V(lbd) ,CIE 1951 - V'(lbd),CIE 1931 - x2,CIE 1931 - y2,CIE 1931 - z2,CIE 1964 - x10,CIE 1964 - y10,CIE 1964 - z10
360,0.00000391700000000000,0.00000000000000000000,0.000129900000,0.000003917000,0.000606100000,0.00000012220000000000,0.00000001339800000000,0.00000053502700000000
361,0.00000439358100000000,0.00000000000000000000,0.000145847000,0.000004393581,0.000680879200,0.00000018513800000000,0.00000002029400000000,0.00000081072000000000
362,0.00000492960400000000,0.00000000000000000000,0.000163802100,0.000004929604,0.000765145600,0.00000027883000000000,0.00000003056000000000,0.00000122120000000000
363,0.00000553213600000000,0.00000000000000000000,0.000184003700,0.000005532136,0.000860012400,0.00000041747000000000,0.00000004574000000000,0.00000182870000000000
364,0.00000620824500000000,0.00000000000000000000,0.000206690200,0.000006208245,0.000966592800,0.00000062133000000000,0.00000006805000000000,0.00000272220000000000
365,0.00000696500000000000,0.00000000000000000000,0.000232100000,0.000006965000,0.001086000000,0.00000091927000000000,0.00000010065000000000,0.00000402830000000000
366,0.00000781321900000000,0.00000000000000000000,0.000260728000,0.000007813219,0.001220586000,0.00000135198000000000,0.00000014798000000000,0.00000592570000000000
367,0.00000876733600000000,0.00000000000000000000,0.000293075000,0.000008767336,0.001372729000,0.00000197654000000000,0.00000021627000000000,0.00000866510000000000
368,0.00000983984400000000,0.00000000000000000000,0.000329388000,0.000009839844,0.001543579000,0.00000287250000000000,0.00000031420000000000,0.00001259600000000000
369,0.00001104323000000000,0.00000000000000000000,0.000369914000,0.000011043230,0.001734286000,0.00000414950000000000,0.00000045370000000000,0.00001820100000000000
370,0.00001239000000000000,0.00000000000000000000,0.000414900000,0.000012390000,0.001946000000,0.00000595860000000000,0.00000065110000000000,0.00002614370000000000
371,0.00001388641000000000,0.00000000000000000000,0.000464158700,0.000013886410,0.002177777000,0.00000850560000000000,0.00000092880000000000,0.00003733000000000000
372,0.00001555728000000000,0.00000000000000000000,0.000518986000,0.000015557280,0.002435809000,0.00001206860000000000,0.00000131750000000000,0.00005298700000000000
373,0.00001744296000000000,0.00000000000000000000,0.000581854000,0.000017442960,0.002731953000,0.00001702260000000000,0.00000185720000000000,0.00007476400000000000
374,0.00001958375000000000,0.00000000000000000000,0.000655234700,0.000019583750,0.003078064000,0.00002386800000000000,0.00000260200000000000,0.00010487000000000000
375,0.00002202000000000000,0.00000000000000000000,0.000741600000,0.000022020000,0.003486000000,0.00003326600000000000,0.00000362500000000000,0.00014622000000000000
376,0.00002483965000000000,0.00000000000000000000,0.000845029600,0.000024839650,0.003975227000,0.00004608700000000000,0.00000501900000000000,0.00020266000000000000
377,0.00002804126000000000,0.00000000000000000000,0.000964526800,0.000028041260,0.004540880000,0.00006347200000000000,0.00000690700000000000,0.00027923000000000000
378,0.00003153104000000000,0.00000000000000000000,0.001094949000,0.000031531040,0.005158320000,0.00008689200000000000,0.00000944900000000000,0.00038245000000000000
379,0.00003521521000000000,0.00000000000000000000,0.001231154000,0.000035215210,0.005802907000,0.00011824600000000000,0.00001284800000000000,0.00052072000000000000
380,0.00003900000000000000,0.00058900000000000000,0.001368000000,0.000039000000,0.006450001000,0.00015995200000000000,0.00001736400000000000,0.00070477600000000000
381,0.00004282640000000000,0.00066500000000000000,0.001502050000,0.000042826400,0.007083216000,0.00021508000000000000,0.00002332700000000000,0.00094823000000000000
382,0.00004691460000000000,0.00075200000000000000,0.001642328000,0.000046914600,0.007745488000,0.00028749000000000000,0.00003115000000000000,0.00126820000000000000
383,0.00005158960000000000,0.00085400000000000000,0.001802382000,0.000051589600,0.008501152000,0.00038199000000000000,0.00004135000000000000,0.00168610000000000000
384,0.00005717640000000000,0.00097200000000000000,0.001995757000,0.000057176400,0.009414544000,0.00050455000000000000,0.00005456000000000000,0.00222850000000000000
385,0.00006400000000000000,0.00110800000000000000,0.002236000000,0.000064000000,0.010549990000,0.00066244000000000000,0.00007156000000000000,0.00292780000000000000
386,0.00007234421000000000,0.00126800000000000000,0.002535385000,0.000072344210,0.011965800000,0.00086450000000000000,0.00009330000000000000,0.00382370000000000000
387,0.00008221224000000000,0.00145300000000000000,0.002892603000,0.000082212240,0.013655870000,0.00112150000000000000,0.00012087000000000000,0.00496420000000000000
388,0.00009350816000000000,0.00166800000000000000,0.003300829000,0.000093508160,0.015588050000,0.00144616000000000000,0.00015564000000000000,0.00640670000000000000
389,0.00010613610000000000,0.00191800000000000000,0.003753236000,0.000106136100,0.017730150000,0.00185359000000000000,0.00019920000000000000,0.00821930000000000000
390,0.00012000000000000000,0.00220900000000000000,0.004243000000,0.000120000000,0.020050010000,0.00236160000000000000,0.00025340000000000000,0.01048220000000000000
391,0.00013498400000000000,0.00254700000000000000,0.004762389000,0.000134984000,0.022511360000,0.00299060000000000000,0.00032020000000000000,0.01328900000000000000
392,0.00015149200000000000,0.00293900000000000000,0.005330048000,0.000151492000,0.025202880000,0.00376450000000000000,0.00040240000000000000,0.01674700000000000000
393,0.00017020800000000000,0.00339400000000000000,0.005978712000,0.000170208000,0.028279720000,0.00471020000000000000,0.00050230000000000000,0.02098000000000000000
394,0.00019181600000000000,0.00392100000000000000,0.006741117000,0.000191816000,0.031897040000,0.00585810000000000000,0.00062320000000000000,0.02612700000000000000
395,0.00021700000000000000,0.00453000000000000000,0.007650000000,0.000217000000,0.036210000000,0.00724230000000000000,0.00076850000000000000,0.03234400000000000000
396,0.00024690670000000000,0.00524000000000000000,0.008751373000,0.000246906700,0.041437710000,0.00889960000000000000,0.00094170000000000000,0.03980200000000000000
397,0.00028124000000000000,0.00605000000000000000,0.010028880000,0.000281240000,0.047503720000,0.01087090000000000000,0.00114780000000000000,0.04869100000000000000
398,0.00031852000000000000,0.00698000000000000000,0.011421700000,0.000318520000,0.054119880000,0.01319890000000000000,0.00139030000000000000,0.05921000000000000000
399,0.00035726670000000000,0.00806000000000000000,0.012869010000,0.000357266700,0.060998030000,0.01592920000000000000,0.00167400000000000000,0.07157600000000000000
400,0.00039600000000000000,0.00929000000000000000,0.014310000000,0.000396000000,0.067850010000,0.01910970000000000000,0.00200440000000000000,0.08601090000000000000
401,0.00043371470000000000,0.01070000000000000000,0.015704430000,0.000433714700,0.074486320000,0.02278800000000000000,0.00238600000000000000,0.10274000000000000000
402,0.00047302400000000000,0.01231000000000000000,0.017147440000,0.000473024000,0.081361560000,0.02701100000000000000,0.00282200000000000000,0.12200000000000000000
403,0.00051787600000000000,0.01413000000000000000,0.018781220000,0.000517876000,0.089153640000,0.03182900000000000000,0.00331900000000000000,0.14402000000000000000
404,0.00057221870000000000,0.01619000000000000000,0.020748010000,0.000572218700,0.098540480000,0.03727800000000000000,0.00388000000000000000,0.16899000000000000000
405,0.00064000000000000000,0.01852000000000000000,0.023190000000,0.000640000000,0.110200000000,0.04340000000000000000,0.00450900000000000000,0.19712000000000000000
406,0.00072456000000000000,0.02113000000000000000,0.026207360000,0.000724560000,0.124613300000,0.05022300000000000000,0.00520900000000000000,0.22857000000000000000
407,0.00082550000000000000,0.02405000000000000000,0.029782480000,0.000825500000,0.141701700000,0.05776400000000000000,0.00598500000000000000,0.26347000000000000000
408,0.00094116000000000000,0.02730000000000000000,0.033880920000,0.000941160000,0.161303500000,0.06603800000000000000,0.00683300000000000000,0.30190000000000000000
409,0.00106988000000000000,0.03089000000000000000,0.038468240000,0.001069880000,0.183256800000,0.07503300000000000000,0.00775700000000000000,0.34387000000000000000
410,0.00121000000000000000,0.03484000000000000000,0.043510000000,0.001210000000,0.207400000000,0.08473600000000000000,0.00875600000000000000,0.38936600000000000000
