nm,S_0,S_1,S_2
300,4.00E-02,2.00E-02,0.00E+00
305,3.02E+00,2.26E+00,1.00E+00
310,6.00E+00,4.50E+00,2.00E+00
315,1.78E+01,1.35E+01,3.00E+00
320,2.96E+01,2.24E+01,4.00E+00
325,4.25E+01,3.22E+01,6.25E+00
330,5.53E+01,4.20E+01,8.50E+00
335,5.63E+01,4.13E+01,8.15E+00
340,5.73E+01,4.06E+01,7.80E+00
345,5.96E+01,4.11E+01,7.25E+00
350,6.18E+01,4.16E+01,6.70E+00
355,6.17E+01,3.98E+01,6.00E+00
360,6.15E+01,3.80E+01,5.30E+00
365,6.52E+01,4.02E+01,5.70E+00
370,6.88E+01,4.24E+01,6.10E+00
375,6.61E+01,4.05E+01,4.55E+00
380,6.34E+01,3.85E+01,3.00E+00
385,6.46E+01,3.68E+01,2.10E+00
390,6.58E+01,3.50E+01,1.20E+00
395,8.03E+01,3.92E+01,5.00E-02
400,9.48E+01,4.34E+01,-1.10E+00
405,9.98E+01,4.49E+01,-8.00E-01
410,1.05E+02,4.63E+01,-5.00E-01
415,1.05E+02,4.51E+01,-6.00E-01
420,1.06E+02,4.39E+01,-7.00E-01
425,1.01E+02,4.05E+01,-9.50E-01
430,9.68E+01,3.71E+01,-1.20E+00
435,1.05E+02,3.69E+01,-1.90E+00
440,1.14E+02,3.67E+01,-2.60E+00
445,1.20E+02,3.63E+01,-2.75E+00
450,1.26E+02,3.59E+01,-2.90E+00
455,1.26E+02,3.43E+01,-2.85E+00
460,1.26E+02,3.26E+01,-2.80E+00
465,1.23E+02,3.03E+01,-2.70E+00
470,1.21E+02,2.79E+01,-2.60E+00
475,1.21E+02,2.61E+01,-2.60E+00
480,1.21E+02,2.43E+01,-2.60E+00
485,1.17E+02,2.22E+01,-2.20E+00
490,1.14E+02,2.01E+01,-1.80E+00
495,1.13E+02,1.82E+01,-1.65E+00
500,1.13E+02,1.62E+01,-1.50E+00
505,1.12E+02,1.47E+01,-1.40E+00
510,1.11E+02,1.32E+01,-1.30E+00
515,1.09E+02,1.09E+01,-1.25E+00
520,1.07E+02,8.60E+00,-1.20E+00
525,1.08E+02,7.35E+00,-1.10E+00
530,1.09E+02,6.10E+00,-1.00E+00
535,1.07E+02,5.15E+00,-7.50E-01
540,1.05E+02,4.20E+00,-5.00E-01
545,1.05E+02,3.05E+00,-4.00E-01
550,1.04E+02,1.90E+00,-3.00E-01
555,1.02E+02,9.50E-01,-1.50E-01
560,1.00E+02,0.00E+00,0.00E+00
565,9.80E+01,-8.00E-01,1.00E-01
570,9.60E+01,-1.60E+00,2.00E-01
575,9.56E+01,-2.55E+00,3.50E-01
580,9.51E+01,-3.50E+00,5.00E-01
585,9.21E+01,-3.50E+00,1.30E+00
590,8.91E+01,-3.50E+00,2.10E+00
595,8.98E+01,-4.65E+00,2.65E+00
600,9.05E+01,-5.80E+00,3.20E+00
605,9.04E+01,-6.50E+00,3.65E+00
610,9.03E+01,-7.20E+00,4.10E+00
615,8.94E+01,-7.90E+00,4.40E+00
620,8.84E+01,-8.60E+00,4.70E+00
625,8.62E+01,-9.05E+00,4.90E+00
630,8.40E+01,-9.50E+00,5.10E+00
635,8.46E+01,-1.02E+01,5.90E+00
640,8.51E+01,-1.09E+01,6.70E+00
645,8.35E+01,-1.08E+01,7.00E+00
650,8.19E+01,-1.07E+01,7.30E+00
655,8.23E+01,-1.14E+01,7.95E+00
660,8.26E+01,-1.20E+01,8.60E+00
665,8.38E+01,-1.30E+01,9.20E+00
670,8.49E+01,-1.40E+01,9.80E+00
675,8.31E+01,-1.38E+01,1.00E+01
680,8.13E+01,-1.36E+01,1.02E+01
685,7.66E+01,-1.28E+01,9.25E+00
690,7.19E+01,-1.20E+01,8.30E+00
695,7.31E+01,-1.27E+01,8.95E+00
700,7.43E+01,-1.33E+01,9.60E+00
705,7.54E+01,-1.31E+01,9.05E+00
710,7.64E+01,-1.29E+01,8.50E+00
715,6.99E+01,-1.18E+01,7.75E+00
720,6.33E+01,-1.06E+01,7.00E+00
725,6.75E+01,-1.11E+01,7.30E+00
730,7.17E+01,-1.16E+01,7.60E+00
735,7.44E+01,-1.19E+01,7.80E+00
740,7.70E+01,-1.22E+01,8.00E+00
745,7.11E+01,-1.12E+01,7.35E+00
750,6.52E+01,-1.02E+01,6.70E+00
755,5.65E+01,-9.00E+00,5.95E+00
760,4.77E+01,-7.80E+00,5.20E+00
765,5.82E+01,-9.50E+00,6.30E+00
770,6.86E+01,-1.12E+01,7.40E+00
775,6.68E+01,-1.08E+01,7.10E+00
780,6.50E+01,-1.04E+01,6.80E+00
785,6.55E+01,-1.05E+01,6.90E+00
790,6.60E+01,-1.06E+01,7.00E+00
795,6.35E+01,-1.02E+01,6.70E+00
800,6.10E+01,-9.70E+00,6.40E+00
805,5.72E+01,-9.00E+00,5.95E+00
810,5.33E+01,-8.30E+00,5.50E+00
815,5.61E+01,-8.80E+00,5.80E+00
820,5.89E+01,-9.30E+00,6.10E+00
825,6.04E+01,-9.55E+00,6.30E+00
830,6.19E+01,-9.80E+00,6.50E+00
