nm,S-cone-opic,M-cone-opic,L-cone-opic,rhodopic,melanopic
752,0.00E+00,8.45E-06,1.21E-04,6.75E-07,9.74E-08
753,0.00E+00,7.92E-06,1.13E-04,6.37E-07,9.19E-08
754,0.00E+00,7.43E-06,1.05E-04,6.01E-07,8.68E-08
755,0.00E+00,6.97E-06,9.81E-05,5.67E-07,8.20E-08
756,0.00E+00,6.53E-06,9.17E-05,5.35E-07,7.74E-08
757,0.00E+00,6.13E-06,8.56E-05,5.05E-07,7.31E-08
758,0.00E+00,5.75E-06,8.00E-05,4.77E-07,6.91E-08
759,0.00E+00,5.40E-06,7.48E-05,4.50E-07,6.53E-08
760,0.00E+00,5.07E-06,6.99E-05,4.25E-07,6.17E-08
761,0.00E+00,4.75E-06,6.53E-05,4.01E-07,5.83E-08
762,0.00E+00,4.46E-06,6.10E-05,3.79E-07,5.51E-08
763,0.00E+00,4.18E-06,5.70E-05,3.58E-07,5.21E-08
764,0.00E+00,3.93E-06,5.33E-05,3.38E-07,4.93E-08
765,0.00E+00,3.69E-06,4.98E-05,3.20E-07,4.66E-08
766,0.00E+00,3.46E-06,4.66E-05,3.02E-07,4.41E-08
767,0.00E+00,3.25E-06,4.36E-05,2.86E-07,4.17E-08
768,0.00E+00,3.05E-06,4.09E-05,2.70E-07,3.94E-08
769,0.00E+00,2.87E-06,3.82E-05,2.55E-07,3.73E-08
770,0.00E+00,2.70E-06,3.58E-05,2.41E-07,3.53E-08
771,0.00E+00,2.53E-06,3.35E-05,2.28E-07,3.34E-08
772,0.00E+00,2.38E-06,3.13E-05,2.16E-07,3.17E-08
773,0.00E+00,2.23E-06,2.93E-05,2.04E-07,3.00E-08
774,0.00E+00,2.09E-06,2.74E-05,1.93E-07,2.84E-08
775,0.00E+00,1.97E-06,2.56E-05,1.83E-07,2.69E-08
776,0.00E+00,1.85E-06,2.40E-05,1.73E-07,2.55E-08
777,0.00E+00,1.74E-06,2.25E-05,1.64E-07,2.42E-08
778,0.00E+00,1.64E-06,2.11E-05,1.55E-07,2.29E-08
779,0.00E+00,1.55E-06,1.98E-05,1.47E-07,2.17E-08
780,0.00E+00,1.46E-06,1.86E-05,1.39E-07,2.05E-08
