nm,S-cone-opic,M-cone-opic,L-cone-opic,rhodopic,melanopic
454,9.26E-01,1.57E-01,8.83E-02,5.02E-01,6.14E-01
455,9.07E-01,1.62E-01,9.08E-02,5.13E-01,6.30E-01
456,8.89E-01,1.67E-01,9.34E-02,5.24E-01,6.45E-01
457,8.71E-01,1.73E-01,9.64E-02,5.35E-01,6.61E-01
458,8.55E-01,1.79E-01,9.95E-02,5.46E-01,6.77E-01
459,8.39E-01,1.86E-01,1.03E-01,5.57E-01,6.92E-01
460,8.24E-01,1.93E-01,1.07E-01,5.67E-01,7.08E-01
461,8.08E-01,2.01E-01,1.11E-01,5.78E-01,7.24E-01
462,7.92E-01,2.08E-01,1.15E-01,5.88E-01,7.39E-01
463,7.76E-01,2.16E-01,1.19E-01,5.99E-01,7.55E-01
464,7.57E-01,2.24E-01,1.24E-01,6.10E-01,7.70E-01
465,7.37E-01,2.32E-01,1.28E-01,6.20E-01,7.85E-01
466,7.15E-01,2.40E-01,1.33E-01,6.31E-01,8.01E-01
467,6.91E-01,2.48E-01,1.38E-01,6.42E-01,8.16E-01
468,6.65E-01,2.56E-01,1.42E-01,6.53E-01,8.32E-01
469,6.38E-01,2.64E-01,1.47E-01,6.64E-01,8.47E-01
470,6.10E-01,2.71E-01,1.52E-01,6.76E-01,8.60E-01
471,5.82E-01,2.79E-01,1.56E-01,6.87E-01,8.73E-01
472,5.54E-01,2.87E-01,1.61E-01,6.99E-01,8.85E-01
473,5.26E-01,2.94E-01,1.66E-01,7.10E-01,8.96E-01
474,4.98E-01,3.02E-01,1.72E-01,7.22E-01,9.07E-01
475,4.71E-01,3.10E-01,1.77E-01,7.34E-01,9.18E-01
476,4.44E-01,3.19E-01,1.83E-01,7.45E-01,9.28E-01
477,4.19E-01,3.27E-01,1.89E-01,7.57E-01,9.39E-01
478,3.95E-01,3.36E-01,1.95E-01,7.69E-01,9.49E-01
479,3.72E-01,3.45E-01,2.01E-01,7.81E-01,9.58E-01
480,3.50E-01,3.55E-01,2.08E-01,7.93E-01,9.66E-01
481,3.30E-01,3.65E-01,2.15E-01,8.05E-01,9.72E-01
482,3.11E-01,3.75E-01,2.22E-01,8.17E-01,9.78E-01
483,2.93E-01,3.85E-01,2.29E-01,8.28E-01,9.83E-01
484,2.75E-01,3.96E-01,2.37E-01,8.40E-01,9.87E-01
485,2.58E-01,4.06E-01,2.44E-01,8.51E-01,9.91E-01
486,2.42E-01,4.15E-01,2.51E-01,8.62E-01,9.93E-01
487,2.27E-01,4.25E-01,2.59E-01,8.73E-01,9.96E-01
488,2.12E-01,4.35E-01,2.66E-01,8.84E-01,9.98E-01
489,1.98E-01,4.45E-01,2.74E-01,8.94E-01,9.99E-01
490,1.85E-01,4.56E-01,2.83E-01,9.04E-01,1.00E+00
491,1.74E-01,4.68E-01,2.92E-01,9.14E-01,1.00E+00
492,1.63E-01,4.81E-01,3.02E-01,9.23E-01,9.98E-01
493,1.53E-01,4.95E-01,3.13E-01,9.32E-01,9.97E-01
494,1.44E-01,5.09E-01,3.24E-01,9.41E-01,9.94E-01
495,1.35E-01,5.23E-01,3.35E-01,9.49E-01,9.92E-01
496,1.27E-01,5.37E-01,3.46E-01,9.57E-01,9.89E-01
497,1.19E-01,5.50E-01,3.57E-01,9.64E-01,9.84E-01
498,1.11E-01,5.64E-01,3.68E-01,9.70E-01,9.79E-01
499,1.04E-01,5.77E-01,3.80E-01,9.76E-01,9.72E-01
500,9.68E-02,5.91E-01,3.92E-01,9.82E-01,9.66E-01
501,8.99E-02,6.05E-01,4.04E-01,9.86E-01,9.59E-01
502,8.33E-02,6.20E-01,4.17E-01,9.90E-01,9.51E-01
503,7.69E-02,6.35E-01,4.29E-01,9.94E-01,9.42E-01
504,7.08E-02,6.51E-01,4.43E-01,9.97E-01,9.32E-01
505,6.50E-02,6.66E-01,4.56E-01,9.98E-01,9.22E-01
506,5.94E-02,6.82E-01,4.70E-01,1.00E+00,9.12E-01
507,5.42E-02,6.98E-01,4.84E-01,1.00E+00,9.01E-01
508,4.94E-02,7.13E-01,4.98E-01,1.00E+00,8.89E-01
509,4.51E-02,7.29E-01,5.12E-01,9.98E-01,8.76E-01
510,4.12E-02,7.44E-01,5.27E-01,9.97E-01,8.63E-01
511,3.78E-02,7.58E-01,5.41E-01,9.94E-01,8.49E-01
512,3.48E-02,7.73E-01,5.55E-01,9.90E-01,8.34E-01
513,3.20E-02,7.87E-01,5.70E-01,9.86E-01,8.18E-01
514,2.95E-02,8.02E-01,5.85E-01,9.81E-01,8.02E-01
515,2.71E-02,8.17E-01,6.00E-01,9.75E-01,7.85E-01
