nm,Photopic (2 deg. Observer),Scotopic,Vlambda / macula,Scone / macula,Melanopsin corr. * lens
750,1.20E-04,7.60E-07,0,0,0
752,1.04E-04,6.75E-07,0,0,0
754,9.08E-05,6.01E-07,0,0,0
756,7.91E-05,5.35E-07,0,0,0
758,6.89E-05,4.77E-07,0,0,0
760,6.00E-05,4.25E-07,0,0,0
762,5.22E-05,3.79E-07,0,0,0
764,4.54E-05,3.38E-07,0,0,0
766,3.96E-05,3.02E-07,0,0,0
768,3.44E-05,2.70E-07,0,0,0
770,3.00E-05,2.41E-07,0,0,0
772,2.61E-05,2.16E-07,0,0,0
774,2.27E-05,1.93E-07,0,0,0
776,1.98E-05,1.73E-07,0,0,0
778,1.72E-05,1.55E-07,0,0,0
780,1.50E-05,1.39E-07,0,0,0
