nm,TCS_01,TCS_02,TCS_03,TCS_04,TCS_05,TCS_06,TCS_07,TCS_08,TCS_09,TCS_10,TCS_11,TCS_12,TCS_13,TCS_14
745,4.67E-01,3.21E-01,4.88E-01,1.72E-01,2.00E-01,4.13E-01,5.46E-01,7.30E-01,8.39E-01,7.55E-01,3.02E-01,4.85E-01,7.50E-01,3.10E-01
750,4.67E-01,3.20E-01,4.93E-01,1.77E-01,2.03E-01,4.25E-01,5.53E-01,7.30E-01,8.39E-01,7.56E-01,3.10E-01,5.20E-01,7.49E-01,3.25E-01
755,4.67E-01,3.18E-01,4.97E-01,1.81E-01,2.05E-01,4.36E-01,5.59E-01,7.30E-01,8.39E-01,7.57E-01,3.14E-01,5.51E-01,7.48E-01,3.39E-01
760,4.67E-01,3.16E-01,5.00E-01,1.85E-01,2.08E-01,4.47E-01,5.65E-01,7.30E-01,8.39E-01,7.58E-01,3.17E-01,5.77E-01,7.48E-01,3.53E-01
765,4.67E-01,3.15E-01,5.02E-01,1.89E-01,2.12E-01,4.58E-01,5.70E-01,7.30E-01,8.39E-01,7.59E-01,3.23E-01,5.99E-01,7.47E-01,3.66E-01
770,4.67E-01,3.15E-01,5.05E-01,1.92E-01,2.15E-01,4.69E-01,5.75E-01,7.30E-01,8.39E-01,7.59E-01,3.30E-01,6.18E-01,7.47E-01,3.79E-01
775,4.67E-01,3.14E-01,5.10E-01,1.94E-01,2.17E-01,4.77E-01,5.78E-01,7.30E-01,8.39E-01,7.59E-01,3.34E-01,6.33E-01,7.47E-01,3.90E-01
780,4.67E-01,3.14E-01,5.16E-01,1.97E-01,2.19E-01,4.85E-01,5.81E-01,7.30E-01,8.39E-01,7.59E-01,3.38E-01,6.45E-01,7.47E-01,3.99E-01
785,4.67E-01,3.13E-01,5.20E-01,2.00E-01,2.22E-01,4.93E-01,5.83E-01,7.30E-01,8.39E-01,7.59E-01,3.43E-01,6.56E-01,7.46E-01,4.08E-01
790,4.67E-01,3.13E-01,5.24E-01,2.04E-01,2.26E-01,5.00E-01,5.85E-01,7.31E-01,8.39E-01,7.59E-01,3.48E-01,6.66E-01,7.46E-01,4.16E-01
795,4.66E-01,3.12E-01,5.27E-01,2.10E-01,2.31E-01,5.06E-01,5.87E-01,7.31E-01,8.39E-01,7.59E-01,3.53E-01,6.74E-01,7.46E-01,4.22E-01
800,4.66E-01,3.12E-01,5.31E-01,2.18E-01,2.37E-01,5.12E-01,5.88E-01,7.31E-01,8.39E-01,7.59E-01,3.59E-01,6.80E-01,7.46E-01,4.28E-01
805,4.66E-01,3.11E-01,5.35E-01,2.25E-01,2.43E-01,5.17E-01,5.89E-01,7.31E-01,8.39E-01,7.59E-01,3.65E-01,6.86E-01,7.45E-01,4.34E-01
810,4.66E-01,3.11E-01,5.39E-01,2.33E-01,2.49E-01,5.21E-01,5.90E-01,7.31E-01,8.38E-01,7.58E-01,3.72E-01,6.91E-01,7.45E-01,4.39E-01
815,4.66E-01,3.11E-01,5.44E-01,2.43E-01,2.57E-01,5.25E-01,5.90E-01,7.31E-01,8.37E-01,7.57E-01,3.80E-01,6.94E-01,7.45E-01,4.44E-01
820,4.65E-01,3.11E-01,5.48E-01,2.54E-01,2.65E-01,5.29E-01,5.90E-01,7.31E-01,8.37E-01,7.57E-01,3.88E-01,6.97E-01,7.45E-01,4.48E-01
825,4.64E-01,3.11E-01,5.52E-01,2.64E-01,2.73E-01,5.32E-01,5.91E-01,7.31E-01,8.36E-01,7.56E-01,3.96E-01,7.00E-01,7.45E-01,4.51E-01
830,4.64E-01,3.10E-01,5.55E-01,2.74E-01,2.80E-01,5.35E-01,5.92E-01,7.31E-01,8.36E-01,7.56E-01,4.03E-01,7.02E-01,7.45E-01,4.54E-01
